threshold,precision,recall,f1,auc,accuracy
0.0,0.43,1.0,0.6,0.5,0.43
0.05,0.43,1.0,0.6,0.5,0.43
0.1,0.44,1.0,0.61,0.5,0.44
0.15,0.46,0.96,0.62,0.55,0.49
0.2,0.5,0.93,0.65,0.61,0.56
0.25,0.55,0.9,0.69,0.67,0.64
0.3,0.61,0.82,0.7,0.71,0.69
0.35,0.64,0.79,0.71,0.73,0.72
0.4,0.67,0.63,0.65,0.7,0.71
0.45,0.71,0.57,0.63,0.7,0.71
0.5,0.74,0.52,0.61,0.69,0.71
0.55,0.81,0.49,0.61,0.7,0.73
0.6,0.91,0.45,0.6,0.71,0.74
0.65,0.92,0.4,0.56,0.69,0.73
0.7,0.91,0.38,0.53,0.68,0.71
0.75,0.91,0.34,0.5,0.66,0.7
0.8,0.9,0.23,0.36,0.6,0.65
0.85,0.92,0.2,0.33,0.59,0.65
0.9,0.67,0.02,0.03,0.51,0.57
0.95,0.0,0.0,0.0,0.5,0.57
1.0,0.0,0.0,0.0,0.5,0.57
