threshold,precision,recall,f1,auc,accuracy
0.0,0.35,1.0,0.52,0.5,0.35
0.06,0.41,1.0,0.58,0.61,0.49
0.11,0.44,0.96,0.61,0.66,0.56
0.17,0.5,0.94,0.66,0.72,0.66
0.22,0.5,0.87,0.64,0.7,0.65
0.28,0.53,0.85,0.65,0.72,0.68
0.33,0.55,0.8,0.65,0.72,0.7
0.39,0.58,0.72,0.64,0.72,0.72
0.44,0.62,0.65,0.64,0.72,0.74
0.5,0.68,0.56,0.61,0.71,0.75
0.56,0.7,0.43,0.53,0.66,0.73
0.61,0.75,0.33,0.46,0.64,0.73
0.67,0.71,0.22,0.34,0.59,0.69
0.72,0.82,0.17,0.28,0.57,0.69
0.78,1.0,0.09,0.17,0.55,0.68
0.83,1.0,0.04,0.07,0.52,0.66
0.89,1.0,0.02,0.04,0.51,0.66
0.94,0.0,0.0,0.0,0.5,0.65
1.0,0.0,0.0,0.0,0.5,0.65
