threshold,precision,recall,f1,auc,accuracy
0.0,0.43,1.0,0.6,0.5,0.43
0.06,0.43,1.0,0.6,0.5,0.43
0.11,0.44,1.0,0.61,0.5,0.44
0.17,0.45,1.0,0.62,0.53,0.46
0.22,0.5,0.96,0.66,0.61,0.56
0.28,0.56,0.9,0.69,0.68,0.65
0.33,0.63,0.83,0.72,0.73,0.72
0.39,0.63,0.82,0.71,0.73,0.71
0.44,0.71,0.63,0.67,0.72,0.73
0.5,0.81,0.61,0.69,0.75,0.77
0.56,0.83,0.6,0.69,0.75,0.77
0.61,0.96,0.43,0.59,0.71,0.75
0.67,0.96,0.42,0.59,0.7,0.74
0.72,0.96,0.41,0.58,0.7,0.74
0.78,0.96,0.39,0.56,0.69,0.73
0.83,0.96,0.38,0.54,0.68,0.72
0.89,1.0,0.23,0.37,0.61,0.67
0.94,1.0,0.05,0.1,0.53,0.59
1.0,0.0,0.0,0.0,0.5,0.57
