threshold,precision,recall,f1,auc,accuracy
0.0,0.35,1.0,0.52,0.5,0.35
0.06,0.38,1.0,0.55,0.56,0.44
0.11,0.46,0.98,0.63,0.69,0.6
0.17,0.51,0.91,0.65,0.72,0.66
0.22,0.54,0.83,0.65,0.72,0.69
0.28,0.55,0.8,0.65,0.72,0.7
0.33,0.58,0.72,0.64,0.72,0.72
0.39,0.65,0.69,0.67,0.74,0.76
0.44,0.7,0.65,0.67,0.75,0.78
0.5,0.7,0.59,0.64,0.73,0.77
0.56,0.75,0.56,0.64,0.73,0.78
0.61,0.74,0.52,0.61,0.71,0.77
0.67,0.75,0.5,0.6,0.7,0.77
0.72,0.77,0.43,0.55,0.68,0.75
0.78,0.77,0.31,0.45,0.63,0.73
0.83,0.86,0.22,0.35,0.6,0.71
0.89,0.89,0.15,0.25,0.57,0.69
0.94,1.0,0.07,0.14,0.54,0.68
1.0,0.0,0.0,0.0,0.5,0.65
