threshold,precision,recall,f1,accuracy
0.0,0.43,1.0,0.6,0.43
0.05,0.39,0.76,0.52,0.38
0.1,0.42,0.75,0.54,0.45
0.15,0.47,0.74,0.57,0.52
0.2,0.5,0.71,0.59,0.57
0.25,0.52,0.71,0.6,0.59
0.3,0.55,0.69,0.61,0.62
0.35,0.57,0.65,0.61,0.63
0.4,0.62,0.64,0.63,0.67
0.45,0.65,0.61,0.63,0.69
0.5,0.66,0.57,0.61,0.69
0.55,0.66,0.54,0.59,0.68
0.6,0.66,0.52,0.58,0.68
0.65,0.67,0.49,0.57,0.68
0.7,0.71,0.47,0.57,0.69
0.75,0.74,0.45,0.56,0.69
0.8,0.71,0.39,0.5,0.67
0.85,0.7,0.35,0.47,0.65
0.9,0.71,0.32,0.44,0.65
0.95,0.63,0.23,0.34,0.61
1.0,0.53,0.14,0.22,0.57
