threshold,precision,recall,f1,accuracy
0.0,0.43,1.0,0.6,0.43
0.05,0.43,1.0,0.6,0.43
0.1,0.44,1.0,0.61,0.44
0.15,0.46,1.0,0.63,0.49
0.2,0.56,0.96,0.71,0.65
0.25,0.59,0.93,0.72,0.69
0.3,0.64,0.9,0.75,0.73
0.35,0.66,0.88,0.75,0.75
0.4,0.71,0.86,0.78,0.79
0.45,0.76,0.76,0.76,0.79
0.5,0.8,0.61,0.69,0.76
0.55,0.89,0.55,0.68,0.78
0.6,0.91,0.55,0.69,0.78
0.65,0.91,0.54,0.68,0.78
0.7,0.91,0.51,0.65,0.76
0.75,0.9,0.46,0.6,0.74
0.8,0.91,0.35,0.51,0.7
0.85,0.9,0.31,0.46,0.68
0.9,0.87,0.24,0.37,0.65
0.95,1.0,0.02,0.03,0.57
1.0,0.0,0.0,0.0,0.57
