threshold,precision,recall,f1,accuracy
0.0,0.43,1.0,0.6,0.43
0.05,0.43,0.99,0.6,0.43
0.1,0.44,0.99,0.61,0.46
0.15,0.48,0.97,0.64,0.53
0.2,0.51,0.95,0.66,0.58
0.25,0.54,0.9,0.68,0.63
0.3,0.59,0.82,0.69,0.68
0.35,0.64,0.75,0.69,0.71
0.4,0.71,0.69,0.7,0.74
0.45,0.75,0.6,0.66,0.74
0.5,0.77,0.56,0.65,0.74
0.55,0.8,0.54,0.64,0.74
0.6,0.84,0.5,0.63,0.74
0.65,0.88,0.49,0.63,0.75
0.7,0.9,0.47,0.62,0.75
0.75,0.93,0.44,0.6,0.74
0.8,0.91,0.37,0.52,0.71
0.85,0.92,0.31,0.46,0.69
0.9,0.93,0.25,0.39,0.67
0.95,0.89,0.14,0.24,0.62
1.0,0.0,0.0,0.0,0.57
